Title;Warm Price;Cold Price;Utilities Cost;Deposit;Room Size (m²);Number of Rooms;Level;Location;Amenities;Env;Year of Construction;Elevator;Parking;Kitchen;Balcony;Garden;Terrace;Move-in Date;Efficiency Class;Energy Source;Energy Demand;Link
Schoenes gemuetliches Zimmer mit Balkon im ruhigen Steglitz;700;630;70;700;20;1;3; 12163 Berlin, Steglitz;Möbliert, Keller, Altbau, WG geeignet, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;1930;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.01.2025;;Gas;;https://www.wohnungsboerse.net/immodetail/36378704
Spreeblick, Beton-Loft;2650;2300;350;6900;127;2;8; 10245 Berlin, Friedrichshain;Aufzug, Tiere erlaubt, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;ab sofort;;;;https://www.wohnungsboerse.net/immodetail/36366881
Geräumige 2-Zimmer-Wohnung mit großer Küche in Mahlsdorf;1160;875;185;2625;68.33;2;1; 12623 Berlin, Mahlsdorf;Altbau, modernisiert, Verbrauchsausweis;;1910;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;01.02.2025;D;Gas;;https://www.wohnungsboerse.net/immodetail/36347188
26 qm WG Zimmer in Berlin Spandau, 5 min vom S Bahnhof Spandau;750;660;90;1800;26;1;2; 13581 Berlin, Spandau;Altbau, WG geeignet, Tiere erlaubt, renoviert, Energieausweis in Vorbereitung;;1910;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.01.2025;;Gas;;https://www.wohnungsboerse.net/immodetail/36348704
Zimmer in Bergmannstraße;420;420;;;16;2;2; 10961 Berlin, Kreuzberg;Möbliert, Aufzug, Keller, Neubau, WG geeignet, Teilmöbliert, Energieausweis in Vorbereitung;;2019;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Verfügbar;06.01.2025;;;;https://www.wohnungsboerse.net/immodetail/33007325
Cozy 2 room appartment in Prenzlauer Berg! (15.01.-15.11.2025);1500;1500;;;49;2;1; 10439 Berlin, Prenzlauer Berg;Möbliert, Altbau, WG geeignet, gepflegt, Energieausweis in Vorbereitung;;1940;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;15.01.2025;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/36327276
Schones Wohnung in Steglitz, 5 min Von Schlosstrasse-U - bahn;700;700;;;20;1;3; 12163 Berlin, Friedenau;Möbliert, Keller, Altbau, WG geeignet, gepflegt, Energieausweis in Vorbereitung;;1930;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;Gas;;https://www.wohnungsboerse.net/immodetail/36324230
Helle ruhige Altbauwohung nahe Ostkreuz;1600;1400;200;800;90;3;2; 10245 Berlin, Friedrichshain;Möbliert, Altbau, Wohnen auf Zeit, gepflegt, Energieausweis in Vorbereitung;;1905;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;15.01.2025;;Gas;;https://www.wohnungsboerse.net/immodetail/36241013
2-Zimmer-Wohnung zur Zwischenmiete in Kreuzberg;1000;900;100;500;80;2;4; 10999 Berlin;Möbliert, Altbau, Wohnen auf Zeit, renoviert, Energieausweis nicht notwendig (Denkmalschutz);;1990;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;13.12.2024;;;;https://www.wohnungsboerse.net/immodetail/36239302
Berlin: Wohnen auf Zeit;2300;2000;300;2300;70;2.5;; 13407 Berlin, Reinickendorf;Möbliert, Altbau, Wohnen auf Zeit, gepflegt, Energieausweis in Vorbereitung;;1930;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.02.2025;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34738302
MANILA - 2 rooms with terrace in Prenzlauer Berg;1820;1475;345;2000;61;1;4; 10439 Berlin, Prenzlauer Berg;Möbliert, Aufzug, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;keine Angabe;;Gas;;https://www.wohnungsboerse.net/immodetail/35470502
Orce - 3 rooms apartment in Kreuzberg (Berlin);2769;2265;504;2000;115;2;1; 10963 Berlin, Kreuzberg;Möbliert, Neubau, Wohnen auf Zeit, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/35470514
GUZET - 5 rooms apartment with Balcony in Friedrichshain;4065;3470;595;2000;107;4;1; 10245 Berlin, Friedrichshain;Möbliert, Aufzug, Neubau, Tiere erlaubt, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/35470517
Muga - 2 rooms apartment in Kreuzberg (Berlin);2590;2070;520;2000;75;1;4; 10963 Berlin, Kreuzberg;Möbliert, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;Gas;;https://www.wohnungsboerse.net/immodetail/35470519
Laruns - 3 room apartment with balcony in Wilmersdorf (Berlin);3035;2530;505;2000;107;2;1; 10707 Berlin, Wilmersdorf;Möbliert, Aufzug, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/35470520
GARDE - 3 rooms apartment in Kreuzberg;2640;2180;460;2000;67;2;1; 10963 Berlin, Kreuzberg;Möbliert, Aufzug, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/35470531
EL OUED - 2 rooms apartment with Balcony in Schöneberg  (Berlin);2240;1735;505;2000;37;1;4; 10777 Berlin, Schöneberg;Möbliert, Aufzug, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/35470545
MAOU - 2 rooms apartment with balcony in Prenzlauer Berg (Berlin);2607;2125;482;2000;57;1;1; 10405 Berlin, Prenzlauer Berg;Möbliert, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/35470547
Baya - Furnished 2 rooms apartment in Mitte (Berlin) with Gym and Terrace;3075;2770;305;2000;53;1;16; 10179 Berlin;Aufzug, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Strom, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/35470696
Tshuapa - 2 rooms apartment with Balcony in Tiergarten;2025;1670;355;2000;37;1;2; 10785 Berlin, Tiergarten;Möbliert, Aufzug, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/35470709
Miabie - 2 rooms apartment with Balcony in Friedrichshain (Berlin);2615;2140;475;2000;65;1;2; 10245 Berlin, Friedrichshain;Möbliert, Aufzug, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/35470714
Granada - Furnished 2 rooms apartment with 60 m2 Terrace in Mitte (Berlin);3180;2620;560;2000;91;2;6; 10117 Berlin, Mitte;Möbliert, Aufzug, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;keine Angabe;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/35470769
